Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
32935,"13746000140","37460001400","4228",,"W","COOK","AV","C","01/11/80 00:00:00",5.7324750000000000e+05,1.0260678400000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32936,"13746000170","37460001700","4218",,"W","COOK","AV","CC","11/20/81 00:00:00",5.7333643000000005e+05,1.0260181300000000e+06,0,1,,"12/04/81 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32937,"13746000250","37460002500","4240","E",,"COOK","AV","CC","03/28/91 00:00:00",5.7355037000000000e+05,1.0258992800000000e+06,0,1,,"03/22/91 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Offer"
32938,"13746000360","37460003600","4204",,,"COOK","AV","CC","02/05/90 00:00:00",5.7388065000000002e+05,1.0257556300000000e+06,0,1,,"02/01/90 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32939,"13746000510","37460005100","4231",,,"FINNEY","AV","C","05/04/78 00:00:00",5.7355600000000000e+05,1.0257092800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32940,"13746000520","37460005200","4235",,,"FINNEY","AV","C","03/20/85 00:00:00",5.7353556000000006e+05,1.0257205900000000e+06,,0,,"02/26/85 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32941,"13746000560","37460005600","4243",,,"FINNEY","AV","C","06/06/74 00:00:00",5.7344915000000002e+05,1.0257683800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32942,"13746000570","37460005700","4201",,"W","FINNEY","AV","C","02/13/76 00:00:00",5.7342695999999996e+05,1.0257806300000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32943,"13746000580","37460005800","4203",,"W","FINNEY","AV","C","08/13/74 00:00:00",5.7340490000000002e+05,1.0257928100000001e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32944,"13746000590","37460005900","4207",,"W","FINNEY","AV","C","07/17/81 00:00:00",5.7338312000000000e+05,1.0258048400000000e+06,,0,,"07/31/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32945,"13746000600","37460006000","4209",,"W","FINNEY","AV","CC","02/13/76 00:00:00",5.7336158999999997e+05,1.0258167800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32946,"13746000610","37460006100","4211",,"W","FINNEY","AV","CC","06/06/74 00:00:00",5.7333978000000003e+05,1.0258288100000001e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
